date,code,name,type,qty,price,pnl,ccy
2024-08-05,NVDA,英伟达,平多,55.0,100.5,123.5,USD
2024-08-05,NVDA,英伟达,平多,50.0,101.4,207.0,USD
2024-08-05,GOOG,谷歌-C,平多,80.0,159.86,4.8,USD
2024-08-05,PYPL,PayPal,平多,80.0,58.9,32.0,USD
2024-08-05,PYPL,PayPal,平多,50.0,58.9,20.0,USD
2024-08-05,PYPL,PayPal,平多,50.0,58.9,20.0,USD
2024-08-05,AMZN,亚马逊,平多,54.0,161.3,92.88,USD
2024-08-05,AMZN,亚马逊,平多,20.0,161.3,34.4,USD
2024-08-05,AMZN,亚马逊,平多,3.0,161.3,5.16,USD
2024-08-05,AMZN,亚马逊,平多,3.0,161.3,5.16,USD
2024-08-05,AMZN,亚马逊,平多,15.0,156.67,-20.25,USD
2024-08-05,NVDA,英伟达,平多,15.0,95.8,-18.15,USD
2024-08-05,NVDA,英伟达,平多,100.0,95.8,-81.25,USD
2024-08-05,NVDA,英伟达,平多,30.0,96.4,11.7,USD
2024-08-05,NVDA,英伟达,平多,120.0,96.4,60.5,USD
2024-08-05,NVDA,英伟达,平多,100.0,96.8,161.28,USD
2024-08-05,NVDA,英伟达,平多,50.0,97.5,135.0,USD
2024-08-05,NVDA,英伟达,平多,50.0,98.3,185.5,USD
2024-08-05,NVDA,英伟达,平多,20.0,99.3,104.0,USD
2024-08-05,NVDA,英伟达,平多,30.0,99.5,162.0,USD
2024-08-05,NVDA,英伟达,平多,25.0,101.0,172.5,USD
2024-08-05,NVDA,英伟达,平多,25.0,103.2,233.5,USD
2024-08-05,01519,极兔速递-W,平多,2000.0,5.91,-140.0,HKD
2024-08-05,AMD,美国超微公司,平空,116.0,134.7,-27.2,USD
2024-08-05,AMD,美国超微公司,平空,6.0,134.7,4.8,USD
2024-08-06,AMD,美国超微公司,平空,13.0,136.8,-16.9,USD
2024-08-06,AMD,美国超微公司,平空,19.0,136.8,-24.7,USD
2024-08-06,AMD,美国超微公司,平空,68.0,136.8,-46.4,USD
2024-08-06,AMD,美国超微公司,平空,19.0,136.4,1.9,USD
2024-08-06,AMD,美国超微公司,平空,81.0,136.4,104.9,USD
2024-08-06,AMD,美国超微公司,平空,50.0,134.8,180.0,USD
2024-08-06,AMD,美国超微公司,平空,50.0,135.1,180.62,USD
2024-08-06,AMD,美国超微公司,平空,50.0,132.7,271.0,USD
2024-08-06,AMD,美国超微公司,平空,50.0,132.5,281.0,USD
2024-08-06,AMD,美国超微公司,平空,40.0,132.5,32.0,USD
2024-08-06,AMD,美国超微公司,平空,10.0,132.5,8.0,USD
2024-08-06,ASML,阿斯麦,平空,46.0,842.0,234.0,USD
2024-08-07,ASML,阿斯麦,平空,20.0,870.0,-194.0,USD
2024-08-07,ASML,阿斯麦,平空,5.0,863.0,70.0,USD
2024-08-07,AMD,美国超微公司,平空,30.0,132.1,102.0,USD
2024-08-08,NVDA,英伟达,平多,225.0,104.4,87.75,USD
2024-08-08,NVDA,英伟达,平多,150.0,104.7,103.5,USD
2024-08-08,NVDA,英伟达,平多,150.0,104.9,186.04,USD
2024-08-08,NVDA,英伟达,平多,25.0,105.3,46.21,USD
2024-08-09,NVDA,英伟达,平多,20.0,106.4,70.0,USD
2024-08-09,AMD,美国超微公司,平空,10.0,134.7,34.0,USD
2024-08-12,NVDA,英伟达,平多,10.0,108.7,46.5,USD
2024-08-12,NVDA,英伟达,平多,10.0,109.0,43.5,USD
2024-08-12,SQ,Block,平多,100.0,61.1,60.0,USD
2024-08-12,NVDA,英伟达,平多,10.0,109.4,56.0,USD
2024-08-12,NVDA,英伟达,平多,10.0,110.0,61.0,USD
2024-08-12,NVDA,英伟达,平多,5.0,110.8,32.5,USD
