no,name,market,ccy,buy_price,qty,fee,avg_price,investment,current_price,gain_loss,pl_pct,exit_price,open_date,close_date,holding_days
1,,HK,HKD,216,100,27.337646,217.0566,21705.66,113.5,12.204398,0.004386,218,2020-02-24,2020-06-22,119
2,,NASDAQ,USD,55.07,10,21.76,57.246,572.46,120.24,-105.46,-0.184222,46.7,2020-02-25,2020-03-26,30
3,,NASDAQ,USD,85,10,21.76,87.176,871.76,138.72,48.24,0.055336,92,2020-03-19,2020-03-23,4
4,,NASDAQ,USD,47,20,21.76,48.088,961.76,51.51,108.24,0.112544,53.5,2020-03-20,2020-03-26,6
5,,HK,HKD,2.8,1000,22.049159,2.97,2970,3.05,6.468305,0.016987,3.02,2020-03-23,2020-07-07,106
6,,NASDAQ,USD,65.7,20,21.76,66.788,1335.76,158.45,116.24,0.087022,72.6,2020-03-25,2020-04-09,15
7,,NASDAQ,USD,162.333333,12,32.64,165.053333,1980.64,223.59,95.36,0.048146,173,2020-03-25,2020-04-09,15
8,,NYSE,USD,179.75,10,21.76,181.926,1819.26,359.57,310.74,0.170806,213,2020-04-24,2020-08-17,115
9,,NYSE,USD,105.8,15,21.76,107.250667,1608.76,138.72,221.24,0.137522,122,2020-05-26,2020-05-28,2
10,,NYSE,USD,27.5,50,17.76,27.8552,1392.76,55.93,323.74,0.232445,34.33,2020-06-09,2020-06-11,2
11,,NYSE,USD,52.222222,45,26.64,52.814222,2376.64,78.54,88.46,0.037221,54.78,2020-06-17,2020-07-17,30
12,,NASDAQ,USD,228,5,17.76,231.552,1157.76,223.59,82.24,0.071034,248,2020-06-26,2020-07-15,19
13,,NASDAQ,USD,16.68,80,17.76,16.902,1352.16,26.48,200.64,0.148385,19.41,2020-07-31,2020-08-11,11
14,,NASDAQ,USD,15,40,17.76,15.444,617.76,26.48,202.24,0.327376,20.5,2020-08-13,2020-08-28,15
15,,NASDAQ,USD,15,40,17.76,15.444,617.76,26.48,16.64,0.026936,15.86,2020-08-13,2020-09-10,28
