"代码","名称","方向","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪"
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","35.35","1,767.50","2026/09/21 11:27:52 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","35.50","1,775.00","2026/09/21 10:37:10 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","35.80","1,790.00","2026/09/21 10:16:56 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","36.50","1,825.00","2026/09/21 09:37:36 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","37.80","1,890.00","2026/09/18 03:11:11 (美东)","美股","USD",""
"IQ","爱奇艺","卖出","500","1.15","575.00","2026/09/17 10:53:16 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","38.68","3,868.00","2026/09/17 10:17:06 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","39.30","1,965.00","2026/09/17 05:01:56 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","39.60","1,980.00","2026/09/16 10:59:52 (美东)","美股","USD",""
"IQ","爱奇艺","卖出","1,000","1.02","1,020.00","2026/09/14 12:57:31 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","49","38.42","1,882.58","2026/09/03 18:00:00 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","1","38.42","38.42","2026/09/03 17:18:06 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","38.38","1,919.00","2026/09/03 11:27:49 (美东)","美股","USD",""
"IQ","爱奇艺","买入","500","0.911","455.50","2026/09/02 07:21:37 (美东)","美股","USD",""
"IQ","爱奇艺","买入","500","0.98","490.00","2026/08/27 09:49:44 (美东)","美股","USD",""
"IQ","爱奇艺","买入","500","1.05","525.00","2026/08/20 11:59:20 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","30","37.22","1,116.60","2026/08/04 23:13:14 (美东)","美股","USD",""
