"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","证监会规费","交易活动费","综合审计跟踪监管费","合计费用"
"卖出","GLD","黄金ETF-SPDR","399.35","4","1,597.40","已撤单","0@0.00","2026/09/21 12:11:59 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","35.35","50","1,767.50","全部成交","50@35.35","2026/09/21 11:22:05 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","0","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","35.50","50","1,775.00","全部成交","50@35.50","2026/09/21 10:31:26 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","0","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","35.80","50","1,790.00","全部成交","50@35.80","2026/09/21 10:05:11 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","0","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","36.50","50","1,825.00","全部成交","50@36.50","2026/09/21 04:55:46 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","0","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","37.80","50","1,890.00","全部成交","50@37.80","2026/09/18 03:00:23 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","","","0","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","38.68","100","3,868.00","全部成交","100@38.68","2026/09/17 10:16:20 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","0","2.29"
"卖出","IQ","爱奇艺","1.15","500","575.00","全部成交","500@1.15","2026/09/17 10:08:00 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","2.45","2.5","1.5","","","","","0.01","0.1","0","6.56"
"买入","SQQQ","三倍做空纳指ETF-ProShares","39.30","50","1,965.00","全部成交","50@39.30","2026/09/17 04:55:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","0","2.14"
"卖出","IQ","爱奇艺","1.10","500","550.00","已撤单","0@0.00","2026/09/16 11:31:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","39.60","50","1,980.00","全部成交","50@39.60","2026/09/16 09:59:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","0","2.14"
"卖出","IQ","爱奇艺","1.02","1,000","1,020.00","全部成交","1,000@1.02","2026/09/14 11:37:34 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","4.9","5","3","","","","","0.02","0.2","0","13.12"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","38.42","50","1,921.00","全部成交","50@38.42","2026/09/03 17:16:18 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.05","0.02","0","2.21"
"买入","SQQQ","三倍做空纳指ETF-ProShares","38.38","50","1,919.00","全部成交","50@38.38","2026/09/03 11:27:20 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","0","2.14"
"买入","IQ","爱奇艺","0.911","500","455.50","全部成交","500@0.911","2026/09/02 06:58:11 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","2.28","2.28","1.5","","","","","","","0","6.06"
"买入","IQ","爱奇艺","0.98","500","490.00","全部成交","500@0.98","2026/08/27 09:46:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","2.45","2.45","1.5","","","","","","","0","6.4"
"买入","IQ","爱奇艺","1.05","500","525.00","全部成交","500@1.05","2026/08/20 10:26:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","2.45","2.5","1.5","","","","","","","0","6.45"
"买入","IQ","爱奇艺","1.08","500","540.00","已撤单","0@0.00","2026/08/19 10:23:22 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","35.60","25","890.00","已撤单","0@0.00","2026/08/13 10:34:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","37.22","30","1,116.60","全部成交","30@37.22","2026/08/04 23:12:20 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","0.99","1","0.09","","","","","","","0","2.08"
"买入","SQQQ","三倍做空纳指ETF-ProShares","37.25","30","1,117.50","已撤单","0@0.00","2026/08/04 23:10:40 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","38.00","20","760.00","已撤单","0@0.00","2026/08/04 11:41:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","38.58","20","771.60","全部成交","20@38.58","2026/08/04 10:29:58 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","","","0","2.05"
"买入","SQQQ","三倍做空纳指ETF-ProShares","38.85","20","777.00","已撤单","0@0.00","2026/08/04 09:51:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","39.02","20","780.40","全部成交","20@39.02","2026/08/04 09:47:13 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","","","0","2.05"
"买入","SQQQ","三倍做空纳指ETF-ProShares","39.25","10","392.50","全部成交","10@39.25","2026/08/04 09:35:52 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","","","0","2.02"
"买入","SQQQ","三倍做空纳指ETF-ProShares","39.38","10","393.80","全部成交","10@39.38","2026/08/04 09:34:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","","","0","2.02"
"买入","SQQQ","三倍做空纳指ETF-ProShares","42.78","10","427.80","全部成交","10@42.78","2026/08/02 21:28:32 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.03","","","","","","","0","2.02"
"买入","SQQQ","三倍做空纳指ETF-ProShares","38.00","30","1,140.00","全部成交","30@38.00","2026/07/09 13:11:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.09","","","","","","","0","2.08"
"买入","SQQQ","三倍做空纳指ETF-ProShares","38.18","30","1,145.40","全部成交","30@38.18","2026/07/09 13:05:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.09","","","","","","","0","2.08"
"买入","SQQQ","三倍做空纳指ETF-ProShares","38.28","20","765.60","全部成交","20@38.28","2026/07/09 12:59:46 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","","","0","2.05"
"卖出","IQ","爱奇艺","1.50","1,000","1,500.00","已撤单","0@0.00","2026/04/16 22:23:34 (美东)","限价单","撤单前有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","58.58","30","1,757.40","已撤单","0@0.00","2026/04/16 02:09:31 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"卖出","IQ","爱奇艺","1.47","1,000","1,470.00","已撤单","0@0.00","2026/04/16 00:59:16 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"卖出","ADBE","Adobe","245.40","5","1,227.00","全部成交","5@245.40","2026/04/15 11:33:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","0.03","0.01","","2.05"
"卖出","IQ","爱奇艺","1.45","1,000","1,450.00","已撤单","0@0.00","2026/04/15 10:07:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","ADBE","Adobe","245.60","5","1,228.00","已撤单","0@0.00","2026/04/15 09:39:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","IQ","爱奇艺","1.45","500","725.00","已撤单","0@0.00","2026/04/14 12:03:42 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","62.83","20","1,256.60","全部成交","20@62.83","2026/04/14 11:54:18 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","","","","2.05"
"买入","SQQQ","三倍做空纳指ETF-ProShares","63.16","25","1,579.00","全部成交","25@63.16","2026/04/14 11:32:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"卖出","IQ","爱奇艺","1.42","1,000","1,420.00","全部成交","1,000@1.42","2026/04/14 11:16:19 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","4.9","5","3","","","","","0.03","0.2","","13.13"
"买入","SQQQ","三倍做空纳指ETF-ProShares","63.46","25","1,586.50","全部成交","25@63.46","2026/04/14 10:59:30 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","SQQQ","三倍做空纳指ETF-ProShares","63.66","25","1,591.50","全部成交","25@63.66","2026/04/14 10:17:30 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","SQQQ","三倍做空纳指ETF-ProShares","63.78","25","1,594.50","全部成交","25@63.78","2026/04/14 09:52:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
