"交易类型","代码","名称","金额","余额","币种","创建时间"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-14,618.28","USD","2026/09/21 23:27:58"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,767.50","-14,616.14","USD","2026/09/21 23:27:53"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-12,848.64","USD","2026/09/21 22:37:15"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,775.00","-12,846.50","USD","2026/09/21 22:37:10"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-11,071.50","USD","2026/09/21 22:17:09"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,790.00","-11,069.36","USD","2026/09/21 22:16:57"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-9,279.36","USD","2026/09/21 21:39:31"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,825.00","-9,277.22","USD","2026/09/21 21:37:37"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-7,452.22","USD","2026/09/18 15:11:12"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,890.00","-7,450.08","USD","2026/09/18 15:11:12"
"股票卖出费用","IQ","爱奇艺","-6.56","-5,560.08","USD","2026/09/17 22:53:17"
"股票卖出成交","IQ","爱奇艺","+575.00","-5,553.52","USD","2026/09/17 22:53:17"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.29","-6,128.52","USD","2026/09/17 22:17:06"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-3,868.00","-6,126.23","USD","2026/09/17 22:17:06"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-2,258.23","USD","2026/09/17 17:01:56"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,965.00","-2,256.09","USD","2026/09/17 17:01:56"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-291.09","USD","2026/09/16 22:59:53"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,980.00","-288.95","USD","2026/09/16 22:59:53"
"股票卖出费用","IQ","爱奇艺","-13.12","1,691.05","USD","2026/09/15 00:57:31"
"股票卖出成交","IQ","爱奇艺","+1,020.00","1,704.17","USD","2026/09/15 00:57:31"
"ETFs卖出费用","SQQQ","三倍做空纳指ETF-ProShares","-2.21","684.17","USD","2026/09/04 06:00:10"
"ETFs卖出成交","SQQQ","三倍做空纳指ETF-ProShares","+1,882.58","686.38","USD","2026/09/04 06:00:00"
"ETFs卖出成交","SQQQ","三倍做空纳指ETF-ProShares","+38.42","-1,196.20","USD","2026/09/04 05:18:06"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-1,234.62","USD","2026/09/03 23:28:01"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,919.00","-1,232.48","USD","2026/09/03 23:27:49"
"股票买入费用","IQ","爱奇艺","-6.06","686.52","USD","2026/09/02 19:21:50"
"股票买入成交","IQ","爱奇艺","-455.50","692.58","USD","2026/09/02 19:21:38"
"融资/欠款利息","--","--","-0.56","1,148.08","USD","2026/09/02 02:00:35"
"股票买入费用","IQ","爱奇艺","-6.40","1,148.64","USD","2026/08/27 21:49:57"
"股票买入成交","IQ","爱奇艺","-490.00","1,155.04","USD","2026/08/27 21:49:44"
"股票买入费用","IQ","爱奇艺","-6.45","1,645.04","USD","2026/08/20 23:59:31"
"股票买入成交","IQ","爱奇艺","-525.00","1,651.49","USD","2026/08/20 23:59:20"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.08","2,176.49","USD","2026/08/05 11:13:24"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,116.60","2,178.57","USD","2026/08/05 11:13:15"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","3,295.17","USD","2026/08/04 22:38:35"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-771.60","3,297.22","USD","2026/08/04 22:38:20"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","4,068.82","USD","2026/08/04 21:50:20"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-780.40","4,070.87","USD","2026/08/04 21:50:05"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.02","4,851.27","USD","2026/08/04 21:38:21"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.02","4,853.29","USD","2026/08/04 21:36:51"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-392.50","4,855.31","USD","2026/08/04 21:36:04"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-393.80","5,247.81","USD","2026/08/04 21:34:57"
"银行转存","--","--","+8,192.30","5,641.61","USD","2026/08/04 08:51:08"
"融资/欠款利息","--","--","-6.16","-2,550.69","USD","2026/08/04 04:06:37"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.02","-2,544.53","USD","2026/08/03 09:32:18"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-427.80","-2,542.51","USD","2026/08/03 09:30:39"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.08","-2,114.71","USD","2026/07/10 01:19:17"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,140.00","-2,112.63","USD","2026/07/10 01:19:04"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.08","-972.63","USD","2026/07/10 01:07:00"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,145.40","-970.55","USD","2026/07/10 01:06:48"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","174.85","USD","2026/07/10 01:01:00"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-765.60","176.90","USD","2026/07/10 01:00:50"
"融资/欠款利息","--","--","-23.78","942.50","USD","2026/07/02 07:28:54"
"股息税","SQQQ","三倍做空纳指ETF-ProShares","-17.22","966.28","USD","2026/07/01 23:14:51"
"现金股息","SQQQ","三倍做空纳指ETF-ProShares","+172.16","983.50","USD","2026/07/01 23:13:59"
"银行转存","--","--","+6,992.30","811.34","USD","2026/06/30 10:48:07"
"融资/欠款利息","--","--","-27.40","-6,180.96","USD","2026/06/02 05:53:25"
"银行转存","--","--","+2,500.00","-6,153.56","USD","2026/05/07 09:36:09"
"融资/欠款利息","--","--","-19.55","-8,653.56","USD","2026/05/02 02:26:50"
"股票卖出费用","ADBE","Adobe","-2.05","-8,634.01","USD","2026/04/16 01:29:26"
"股票卖出成交","ADBE","Adobe","+1,227.00","-8,631.96","USD","2026/04/15 23:56:02"
"基金赎回","880006","易方达(香港)美元货币市场基金","+507.39","-9,858.96","USD","2026/04/15 06:18:56"
"股票卖出费用","IQ","爱奇艺","-13.13","-10,366.35","USD","2026/04/15 01:22:35"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","-10,353.22","USD","2026/04/15 01:16:24"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-10,351.17","USD","2026/04/15 01:01:01"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-10,349.10","USD","2026/04/15 00:43:44"
"股票卖出成交","IQ","爱奇艺","+1,420.00","-10,347.03","USD","2026/04/15 00:02:06"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,256.60","-11,767.03","USD","2026/04/14 23:54:53"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,579.00","-10,510.43","USD","2026/04/14 23:38:58"
"股息税","SQQQ","三倍做空纳指ETF-ProShares","+18.98","-8,931.43","USD","2026/04/14 23:37:30"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-8,950.41","USD","2026/04/14 23:28:43"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,586.50","-8,948.34","USD","2026/04/14 23:20:53"
"股息税","SQQQ","三倍做空纳指ETF-ProShares","+25.66","-7,361.84","USD","2026/04/14 23:17:30"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-7,387.50","USD","2026/04/14 23:17:06"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,591.50","-7,385.43","USD","2026/04/14 22:21:55"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,594.50","-5,793.93","USD","2026/04/14 22:14:38"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-4,199.43","USD","2026/04/14 21:39:35"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,607.50","-4,197.36","USD","2026/04/14 21:31:54"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-2,589.86","USD","2026/04/14 17:29:03"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.04","-2,587.79","USD","2026/04/14 17:22:09"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,614.50","-2,585.75","USD","2026/04/14 17:01:36"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-971.25","-971.25","USD","2026/04/14 16:30:18"
"基金赎回","880006","易方达(香港)美元货币市场基金","+1,801.76","-0.00","USD","2026/04/14 06:23:51"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-1,801.76","USD","2026/04/14 03:59:22"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-589.50","-1,799.69","USD","2026/04/14 03:59:12"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,048.00","-1,210.19","USD","2026/04/14 03:59:12"
"股票卖出费用","ADBE","Adobe","-2.04","-162.19","USD","2026/04/14 00:11:18"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","-160.15","USD","2026/04/13 23:43:08"
"股票卖出成交","ADBE","Adobe","+1,171.00","-158.10","USD","2026/04/13 23:31:14"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,342.00","-1,329.10","USD","2026/04/13 22:58:37"
"基金申购","880006","易方达(香港)美元货币市场基金","-2,309.10","12.90","USD","2026/04/13 08:37:11"
"股票卖出费用","ADBE","Adobe","-2.08","2,322.00","USD","2026/04/10 23:00:16"
"股票买入费用","ADBE","Adobe","-2.02","2,324.08","USD","2026/04/10 22:21:32"
"股票卖出成交","ADBE","Adobe","+2,270.00","2,326.10","USD","2026/04/10 22:18:03"
"股票买入成交","ADBE","Adobe","-2,254.00","56.10","USD","2026/04/10 21:51:00"
"ETFs卖出费用","SQQQ","三倍做空纳指ETF-ProShares","-2.37","2,310.10","USD","2026/04/10 05:58:08"
"ETFs卖出成交","SQQQ","三倍做空纳指ETF-ProShares","+5,443.20","2,312.47","USD","2026/04/10 05:57:58"
"股票卖出费用","ADBE","Adobe","-2.33","-3,130.73","USD","2026/04/10 05:53:03"
"股票卖出成交","ADBE","Adobe","+2,298.80","-3,128.40","USD","2026/04/10 05:52:53"
"股票卖出成交","ADBE","Adobe","+6,896.40","-5,427.20","USD","2026/04/10 05:52:52"
"股票买入费用","ADBE","Adobe","-2.05","-12,323.60","USD","2026/04/10 02:23:24"
"股票买入成交","ADBE","Adobe","-4,555.60","-12,321.55","USD","2026/04/10 02:23:15"
"股票买入费用","ADBE","Adobe","-2.04","-7,765.95","USD","2026/04/10 02:01:50"
"股票买入成交","ADBE","Adobe","-3,424.20","-7,763.91","USD","2026/04/10 02:01:42"
"股票买入费用","ADBE","Adobe","-2.01","-4,339.71","USD","2026/04/09 21:35:39"
"股票买入成交","ADBE","Adobe","-1,150.50","-4,337.70","USD","2026/04/09 21:35:27"
"ETFs卖出费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-3,187.20","USD","2026/04/09 16:11:01"
"ETFs卖出成交","SQQQ","三倍做空纳指ETF-ProShares","+2,108.40","-3,185.06","USD","2026/04/09 16:09:32"
"ETFs卖出费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-5,293.46","USD","2026/04/09 15:41:53"
"ETFs卖出成交","SQQQ","三倍做空纳指ETF-ProShares","+2,102.40","-5,291.32","USD","2026/04/09 15:41:43"
"基金赎回","880006","易方达(香港)美元货币市场基金","+4,925.56","-7,393.72","USD","2026/04/09 06:18:22"
